source,author,feature,n,mean,std,median,min,max,mean_ci_low,mean_ci_high
r2r,llm,coordination_per_1000,80,40.94793135104892,7.677566566511983,40.862708719851575,22.93577981651376,55.865921787709496,39.32081151089713,42.598579195617766
r2r,llm,deictic_per_1000,80,26.08341258337246,8.52129643874364,26.966428311719792,8.968609865470851,46.728971962616825,24.28026400938352,28.070755759560903
r2r,llm,dialogue_mark_density,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r2r,llm,direction_per_1000,80,80.4357494161557,19.751099502785937,80.64310458419229,38.46153846153846,125.0,75.78544444537212,84.55488839497407
r2r,llm,egocentric_per_1000,80,38.556832175415806,12.90157867764957,38.00668050916313,10.0,67.87330316742081,35.81648979972791,41.377191956296706
r2r,llm,first_person_per_1000,80,73.20298309653717,12.370377700256151,72.32712235950578,50.45871559633027,103.09278350515464,70.64502828001365,76.10832332005451
r2r,llm,formulaic_phrase_per_1000,80,7.490091931249809,3.4490860913275267,8.77209857068657,0.0,15.544041450777202,6.705976165296293,8.249576269999109
r2r,llm,hapax_ratio,80,0.7706274200604245,0.03624611210226032,0.7748873873873874,0.7,0.8492063492063492,0.762954141554404,0.7784599082513558
r2r,llm,imperative_sentence_share,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r2r,llm,landmark_per_1000,80,58.12651967074744,15.454008737641296,57.50394548961647,28.846153846153847,93.13725490196079,54.731968532335344,61.138780628562614
r2r,llm,landmark_reuse_ratio,80,0.3678601333414607,0.13567706016985082,0.36363636363636365,0.08333333333333333,0.6666666666666666,0.33737864028762343,0.39543246425594536
r2r,llm,left_right_imbalance,80,0.5036607142857144,0.3295301346512149,0.5,0.0,1.0,0.4325887896825397,0.5774771825396824
r2r,llm,mean_sentence_len,80,21.14768890831391,2.833349454905202,20.518181818181816,16.153846153846153,32.166666666666664,20.548792528651905,21.82129825296232
r2r,llm,motion_per_1000,80,60.42810232415703,17.1566066558753,58.69104398516163,18.34862385321101,104.76190476190476,56.622392542626145,64.14414207696038
r2r,llm,narrative_route_ratio,80,0.6526201277563696,0.16887237517339201,0.6060606060606061,0.35555555555555557,1.1,0.6155761823639555,0.6935537140950347
r2r,llm,nominalization_per_1000,80,8.60573578298108,5.670713934749749,8.968790218790218,0.0,24.03846153846154,7.411217216402122,9.782151776914088
r2r,llm,participial_ing_per_1000,80,42.17942620377256,12.65733549261269,41.050365100168506,17.937219730941703,80.0,39.45327076162715,44.924259216912816
r2r,llm,passive_like_per_1000,80,1.2530285896671198,2.574600146987849,0.0,0.0,9.433962264150944,0.7288974162033307,1.8724228950960005
r2r,llm,route_step_density,80,160.05498882430706,35.3040350923514,160.09735504436975,94.01709401709402,240.3846153846154,151.80047738910972,167.58234663256073
r2r,llm,second_person_per_1000,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r2r,llm,sensory_per_1000,80,13.78784702855313,7.007817870503436,13.698915763135947,0.0,32.55813953488372,12.323349938320414,15.49458698451916
r2r,llm,sentence_count,80,10.1,1.3557192495293056,10.0,6.0,13.0,9.799687500000001,10.3875
r2r,llm,sequence_per_1000,80,19.191137083994324,7.244546184032319,19.093187514240146,4.651162790697675,36.36363636363637,17.593188059211943,20.729583781062285
r2r,llm,survey_route_ratio,80,0.04318108618789858,0.013188547792801257,0.04,0.023809523809523808,0.09090909090909091,0.04045648817230315,0.04628875547711263
r2r,llm,that_per_1000,80,3.53108097355558,3.277178445658374,4.672897196261682,0.0,14.423076923076923,2.7934072183505285,4.287401202383736
r2r,llm,type_token_ratio,80,0.6015524865948129,0.03692782847995538,0.6,0.5291479820627802,0.6858638743455497,0.5937975720149509,0.6095354538668967
r2r,llm,word_count,80,210.2125,12.241963263993322,210.0,179.0,242.0,207.5996875,212.8253125
writingprompts,human,affect_per_1000,34,3.549997521301261,9.821276493800141,0.0,0.0,56.074766355140184,1.2183683096337723,6.985779684046394
writingprompts,human,bigram_repetition,34,0.053756503496778456,0.025844256098128827,0.046405960635686305,0.018433179723502335,0.12068965517241381,0.045509596915389965,0.06330080968867298
writingprompts,human,cardinal_per_1000,34,0.26860059092130006,1.0905596968521136,0.0,0.0,4.566210045662101,0.0,0.67150147730325
writingprompts,human,closure_per_1000,34,7.614683368183563,6.736399366375489,4.842643403217485,0.0,28.037383177570092,5.430423058390717,9.824511420598588
writingprompts,human,coordination_per_1000,34,32.84149987426575,13.682547911958734,31.81883923221554,4.878048780487805,68.18181818181819,28.209759750211262,37.172975474674004
writingprompts,human,deictic_per_1000,34,9.252851580945993,8.719705971280598,7.01434042932217,0.0,36.36363636363637,6.540992222223889,12.24964190450325
writingprompts,human,dialogue_mark_density,34,0.0028502511186278196,0.003991090635638442,0.0,0.0,0.013071895424836602,0.0016259721723636809,0.004289758046418396
writingprompts,human,direction_per_1000,34,24.898230245073922,14.743752208319245,25.414637286244556,0.0,57.971014492753625,20.311818331876776,29.706391513796188
writingprompts,human,egocentric_per_1000,34,5.166296608183945,5.810201816266933,4.555832295558323,0.0,19.32367149758454,3.37151345543332,7.271926105383768
writingprompts,human,first_person_per_1000,34,68.84058021670614,46.12619314923964,75.1438714087271,0.0,153.84615384615384,53.94291996895755,84.06049977806829
writingprompts,human,formulaic_phrase_per_1000,34,0.28490146410379524,1.156833813887109,0.0,0.0,4.901960784313726,0.0,0.7105290751256879
writingprompts,human,hapax_ratio,34,0.7620029257229547,0.048046564061658,0.768177028451001,0.6333333333333333,0.8424657534246576,0.7464509212823647,0.7778487626350773
writingprompts,human,imperative_sentence_share,34,0.001547987616099071,0.009026241323289939,0.0,0.0,0.05263157894736842,0.0,0.0046439628482972135
writingprompts,human,landmark_per_1000,34,9.787068405422788,12.529527392240427,4.672999235724424,0.0,50.0,5.791048198113899,14.414261417963054
writingprompts,human,landmark_reuse_ratio,34,0.10646167557932262,0.20250033926748423,0.0,0.0,0.75,0.04516042780748663,0.17529634581105166
writingprompts,human,left_right_imbalance,34,0.3088235294117647,0.4608080169880936,0.0,0.0,1.0,0.17610294117647063,0.4852941176470588
writingprompts,human,mean_sentence_len,34,15.948927208552846,8.801980448278112,13.308823529411764,5.086956521739131,43.4,13.227978564075546,18.952899884933323
